대표운영사,운영사구분,자조합 규모(백만원) 
한국투자파트너스,벤처투자회사,71000
쏠레어파트너스,LLC,7000
에쓰비인베스트먼트,벤처투자회사,13300
일신창업투자,벤처투자회사,15100
가이아벤처파트너스,LLC,10320
케이비인베스트먼트,벤처투자회사,25000
에스제이투자파트너스,벤처투자회사,27000
케이넷투자파트너스,LLC,50000
수인베스트먼트캐피탈,벤처투자회사,27500
알바트로스인베스트먼트,벤처투자회사,29001
에이치비인베스트먼트,벤처투자회사,75000
제이엑스파트너스,벤처투자회사,12500
에이지인베스트먼트,벤처투자회사,30500
인라이트벤처스,LLC,16200
현대기술투자,벤처투자회사,60000
데브시스터즈벤처스,벤처투자회사,15000
유티씨인베스트먼트,벤처투자회사,24500
엘앤에스벤처캐피탈,벤처투자회사,10000
트랜스링크인베스트먼트,벤처투자회사,35000
미시간벤처캐피탈,벤처투자회사,25000
스톤브릿지벤처스,벤처투자회사,42500
디에스씨인베스트먼트,벤처투자회사,50000
대성창업투자,벤처투자회사,15000
메이플투자파트너스,벤처투자회사,12500
미래에셋벤처투자,벤처투자회사,25000
케이비인베스트먼트,벤처투자회사,30000
레오파트너스인베스트먼트,벤처투자회사,15500
이에스인베스터,벤처투자회사,10100
스틱벤처스,벤처투자회사,108300
에이티넘인베스트먼트,벤처투자회사,350000
카카오벤처스,벤처투자회사,76000
신한벤처투자,벤처투자회사,60000
코오롱인베스트먼트,벤처투자회사,67000
우리벤처파트너스,벤처투자회사,51000
스마일게이트인베스트먼트,벤처투자회사,37100
포스코기술투자,신기술사,21000
엘에스케이인베스트먼트,벤처투자회사,20000
에쓰비인베스트먼트,벤처투자회사,10000
인터베스트,벤처투자회사,110000
비에스케이인베스트먼트,벤처투자회사,30000
티에스인베스트먼트,벤처투자회사,78000
가이아벤처파트너스,LLC,20000
패스파인더에이치,벤처투자회사,20000
심본투자파트너스,LLC,20000
케이클라비스인베스트먼트,신기술사,20000
지온인베스트먼트,벤처투자회사,20000
에스제이투자파트너스,벤처투자회사,37500
마그나인베스트먼트,벤처투자회사,37500
동문파트너즈,LLC,20000
제이비인베스트먼트,신기술사,20000
케이앤투자파트너스,벤처투자회사,37500
케이브릿지인베스트먼트,LLC,10000
대덕벤처파트너스,LLC,13000
라이트하우스컴바인인베스트,벤처투자회사,12000
시너지아이비투자,신기술사,18000
대덕벤처파트너스,LLC,15000
센트럴투자파트너스,벤처투자회사,17000
송현인베스트먼트,벤처투자회사,93000
레오파트너스인베스트먼트,벤처투자회사,15100
코리아에셋투자증권,신기술사,20000
엘앤에스벤처캐피탈,벤처투자회사,60000
엘비인베스트먼트,벤처투자회사,54000
한국투자파트너스,벤처투자회사,285000
엘비인베스트먼트,벤처투자회사,145600
이수창업투자,벤처투자회사,14000
나우아이비캐피탈,신기술사,40000
캐피탈원,벤처투자회사,20000
인터밸류파트너스,벤처투자회사,20000
컴퍼니케이파트너스,벤처투자회사,33000
마젤란기술투자,벤처투자회사,15000
씨케이디창업투자,벤처투자회사,30000
삼호그린인베스트먼트,벤처투자회사,30000
어니스트벤처스,LLC,20710
디티앤인베스트먼트,벤처투자회사,58830
비에스케이인베스트먼트,벤처투자회사,20000
마그나인베스트먼트,벤처투자회사,32000
코나인베스트먼트,벤처투자회사,16600
뮤렉스파트너스,LLC,38700
티에스인베스트먼트,벤처투자회사,141434
메디치인베스트먼트,벤처투자회사,78500
케이비인베스트먼트,벤처투자회사,136000
보광인베스트먼트,벤처투자회사,10000
플래티넘기술투자,벤처투자회사,62500
포스코기술투자,신기술사,73350
인사이트에퀴티파트너스,LLC,21300
코메스인베스트먼트,벤처투자회사,10000
인비저닝파트너스,LLC,20200
디쓰리쥬빌리파트너스,벤처투자회사,15000
어센도벤처스,LLC,23250
델타인베스트먼트,LLC,10000
대교인베스트먼트,벤처투자회사,31000
우리벤처파트너스,벤처투자회사,30000
대성창업투자,벤처투자회사,30100
유니온투자파트너스,벤처투자회사,25000
캐피탈원,벤처투자회사,10010
더웰스인베스트먼트,벤처투자회사,20000
시너지아이비투자,신기술사,30000
이수창업투자,벤처투자회사,17000
포스코기술투자,신기술사,10800
인라이트벤처스,LLC,15000
포항공과대학교기술지주,기타운용사,5000
한양대학교기술지주회사,기타운용사,2740
미래과학기술지주,기타운용사,6750
부산대학교기술지주,기타운용사,3000
서울대학교기술지주,기타운용사,4000
부산지역대학연합기술지주,기타운용사,4180
대교인베스트먼트,벤처투자회사,12500
뉴레이크얼라이언스매니지먼트,기타운용사,80000
현대기술투자,벤처투자회사,14000
아이엠엠인베스트먼트,벤처투자회사,113500
프리미어파트너스,LLC,63000
한화투자증권,신기술사,30000
미래에셋벤처투자,벤처투자회사,20000
쿨리지코너인베스트먼트,벤처투자회사,19500
로이투자파트너스,벤처투자회사,14500
미시간벤처캐피탈,벤처투자회사,12500
아이디벤처스,벤처투자회사,11800
케이비인베스트먼트,벤처투자회사,40000
유티씨인베스트먼트,벤처투자회사,100000
신한벤처투자,벤처투자회사,50000
동문파트너즈,LLC,30000
디에이밸류인베스트먼트,신기술사,15000
원익투자파트너스,벤처투자회사,40000
